Learning Lab,Cambridge Stage,Primary,Lower Secondary,IGCSE/IGCSE (9–1),AS/A Level,Cross-curricular / Global Perspectives
Agriculture & Climate Change,Primary; Lower Secondary; IGCSE; AS/A,Science (Plants; Ecology; Earth & Environment); Geography (Human & Physical); Computing (Data),Science (Ecosystems; Earth systems); Geography (Human-environment interactions); Computing (Data handling),IGCSE Biology; IGCSE Geography; IGCSE Environmental Management; Global Perspectives,A Level Geography; A Level Biology; A Level Economics; A Level Environmental Management,data handling; sustainability case studies; investigation; evaluation; research question; perspectives analysis
Renewable Energy,Primary; Lower Secondary; IGCSE; AS/A,Science (Energy; Earth & Environment); Geography (Resources); Computing (Data),Physics (Energy transfers); Geography (Resources & sustainability); Design/Computing (modeling),IGCSE Physics; IGCSE Chemistry; IGCSE Geography; Environmental Management,A Level Physics; A Level Geography; A Level Economics; A Level Environmental Management,model interpretation; quantitative reasoning; evaluation of solutions; engineering design; data analysis
Civics & Climate Action,Primary; Lower Secondary; IGCSE; AS/A,Geography (Human systems); English (discussion & argument); Computing (information evaluation),Geography (environmental governance); Global Perspectives (issues & debates),IGCSE Geography; Global Perspectives; IGCSE English,A Level Geography; A Level Economics; A Level Sociology; A Level Politics (where offered),extended response; policy debate; evaluation of sources; research and presentation
Climate Justice & Equity,Lower Secondary; IGCSE; AS/A,Geography (Human geography); English (discussion and empathy),Geography (development & inequality); Global Perspectives (perspectives analysis),IGCSE Geography; Global Perspectives; Environmental Management,A Level Geography; A Level Sociology; A Level Economics,perspectives analysis; ethical evaluation; case study comparison; argument construction
Invasive Species,Primary; Lower Secondary; IGCSE; AS/A,Science (Living things & habitats; Ecology); Geography (Ecosystems),Biology (interdependence; ecosystems),IGCSE Biology; IGCSE Geography; Environmental Management,A Level Biology; A Level Environmental Management; A Level Geography,field investigation; data collection; biodiversity analysis; scientific evaluation
Wildfires,Primary; Lower Secondary; IGCSE; AS/A,Geography (Natural hazards); Science (Earth & atmosphere),Geography (hazards); Science (atmospheric processes),IGCSE Geography; IGCSE Biology; Environmental Management,A Level Geography; A Level Environmental Management; A Level Chemistry,hazard mapping; case study analysis; evaluation; model interpretation
Floods & Droughts,Primary; Lower Secondary; IGCSE; AS/A,Geography (Water systems); Science (Earth & environment),Geography (hydrology; hazards); Science (climate systems),IGCSE Geography; Environmental Management; IGCSE Physics,A Level Geography; A Level Environmental Management; A Level Physics,data handling; hydrology investigation; case study comparison; evaluation
Sea Level Rise,Primary; Lower Secondary; IGCSE; AS/A,Geography (Coasts; climate); Science (Earth processes),Geography (coastal processes; climate change); Science (Earth systems),IGCSE Geography; Environmental Management; IGCSE Physics,A Level Geography; A Level Environmental Management; A Level Physics,graph interpretation; climate modeling; evaluation of adaptation strategies
Climate Change & Health,Primary; Lower Secondary; IGCSE; AS/A,Science (Human health; environment); Geography (Human environment),Biology (health & disease); Geography (human impacts),IGCSE Biology; Environmental Management; IGCSE Geography,A Level Biology; A Level Geography; A Level Environmental Management; A Level Psychology,epidemiology case studies; data interpretation; evaluation of evidence
Climate Migration,Lower Secondary; IGCSE; AS/A,Geography (population & settlements),Geography (population & development); Global Perspectives,IGCSE Geography; Global Perspectives,A Level Geography; A Level Sociology; A Level Economics,case study analysis; perspectives evaluation; extended response
En-ROADS Climate Modeling,Lower Secondary; IGCSE; AS/A,Science (Earth systems); Computing (Data representation),Science (climate systems); Computing (modeling; simulation),IGCSE Physics; IGCSE Geography; Global Perspectives; Computer Science,A Level Geography; A Level Economics; A Level Mathematics; A Level Physics,systems modeling; scenario analysis; data interpretation; evaluation
