Learning Lab,NGSS HS,NGSS MS/ES,CCSS ELA,Subject Fit,Curriculum Pitch,NCTM,CSTA,ISTE,US Grade Bands,CCSS ELA K-8,CCSS Math K-8,AP Course Fit,AP Unit/Skill Hooks,State Standards Note
Agriculture & Climate Change,HS-ESS3-4; HS-ESS3-5; HS-ETS1-3,MS-ESS3-3; 3-ESS3-1,RST.11-12.7; WHST.9-12.1,Environmental Science; Biology; Earth Science; Chemistry; Economics; Geography; Math; ELA,Investigate how agricultural systems influence climate change and evaluate evidence-based mitigation or adaptation strategies.,Problem Solving; Representation; Data Analysis; Connections,Data & Analysis; Impacts of Computing,Knowledge Constructor; Global Collaborator,3-5; 6-8; 9-10; 11-12,RI.4.7; W.5.1; SL.5.4,Ratios & Proportional Relationships; Statistics & Probability,AP Environmental Science; AP Biology; AP Human Geography; AP Statistics,"APES Unit 4 Earth Systems; Unit 6 Energy Resources; Skills: Data Analysis, Argumentation",Aligns well with state science standards derived from NGSS; supports ELA informational text and argument writing across K-12.
Renewable Energy,HS-ESS3-2; HS-PS3-3; HS-ETS1-2,MS-PS3-3; 4-PS3-4,RST.9-10.7; WHST.9-12.7,Physics; Chemistry; Environmental Science; Engineering; Computer Science; Economics; Math,"Analyze renewable energy technologies and design feasible energy solutions considering cost, efficiency, and environmental impact.",Problem Solving; Mathematical Modeling; Representation,Computing Systems; Data & Analysis,Innovative Designer; Computational Thinker,3-5; 6-8; 9-10; 11-12,RI.4.7; W.4.7; SL.5.4,Expressions & Equations; Ratios & Proportional Relationships; Statistics & Probability,AP Environmental Science; AP Physics 1; AP Physics C; AP Statistics,"APES Energy Resources; AP Physics Energy & Work; Skills: Modeling, Quantitative Analysis","Aligns with many state science standards emphasizing energy systems, engineering design, and data interpretation."
Civics & Climate Action,HS-ESS3-2; HS-ESS3-4; HS-ETS1-1,MS-ESS3-3; 5-ESS3-1,SL.11-12.4; WHST.9-12.1,Civics; Government; Social Studies; Environmental Science; ELA; Statistics,Research climate-related issues and communicate policy proposals using evidence and persuasive argument.,Communication; Data Analysis,Impacts of Computing; Data Literacy,Creative Communicator; Digital Citizen,3-5; 6-8; 9-10; 11-12,RI.5.8; W.5.1; SL.5.4,Statistics & Probability,AP Environmental Science; AP Human Geography; AP US Government; AP Comparative Government,"AP Gov Policy Analysis; APES Environmental Policy; Skills: Argumentation, Evidence Evaluation",Supports civic literacy and science-based policy analysis aligned with state social studies frameworks.
Climate Justice & Equity,HS-ESS3-1; HS-ESS3-4; HS-ETS1-1,MS-ESS3-4; 5-ESS3-1,RST.11-12.1; SL.11-12.4,Social Studies; Sociology; Geography; Environmental Science; ELA,"Examine unequal climate impacts and evaluate solutions through environmental, economic, and social lenses.",Reasoning; Data Interpretation,Data & Analysis; Impacts of Computing,Global Collaborator; Knowledge Constructor,3-5; 6-8; 9-10; 11-12,RI.5.3; W.5.1; SL.6.1,Statistics & Probability,AP Environmental Science; AP Human Geography; AP World History; AP Comparative Government,"AP Human Geography Population & Development; Skills: Source Evaluation, Case Study Analysis","Aligns with state social studies standards emphasizing equity, geography, and human-environment interactions."
Invasive Species,HS-LS2-2; HS-LS2-7; HS-ESS2-2,MS-LS2-1; 3-LS4-3,RST.9-10.8; WHST.9-12.7,Biology; Ecology; Environmental Science; Geography; Math,Study ecological systems and investigate how invasive species alter biodiversity and ecosystem stability.,Representation; Data Analysis,Data & Analysis,Knowledge Constructor,3-5; 6-8; 9-10; 11-12,RI.4.7; W.5.2; SL.5.4,Statistics & Probability,AP Biology; AP Environmental Science,"AP Bio Ecology Units; APES Biodiversity; Skills: Data Analysis, Scientific Investigation",Supports ecosystem and biodiversity learning goals common across state science standards.
Wildfires,HS-ESS3-1; HS-ESS3-4; HS-ESS3-5,MS-ESS3-2; 3-ESS3-1,RST.11-12.7; SL.11-12.5,Earth Science; Environmental Science; Biology; Chemistry; Geography; Statistics,"Analyze wildfire causes, impacts, and mitigation strategies using scientific data and geographic evidence.",Data Analysis; Modeling,Data Visualization; Impacts of Computing,Creative Communicator,3-5; 6-8; 9-10; 11-12,RI.4.9; W.5.7; SL.5.4,Statistics & Probability; Ratios & Proportional Relationships,AP Environmental Science; AP Geography; AP Statistics,"APES Land Use & Forestry; Skills: Data Interpretation, Risk Analysis",Reinforces hazard science and environmental systems concepts emphasized in many state standards.
Floods & Droughts,HS-ESS2-4; HS-ESS3-1; HS-ESS3-4,MS-ESS3-2; 3-ESS3-1,RST.9-10.7; WHST.9-12.2,Earth Science; Geography; Environmental Science; Engineering; Math,Use hydrology and climate data to explain extreme water events and design resilient infrastructure solutions.,Modeling; Representation,Data Analysis,Innovative Designer,3-5; 6-8; 9-10; 11-12,RI.5.7; W.5.2; SL.5.4,Ratios & Proportional Relationships; Statistics & Probability,AP Environmental Science; AP Human Geography; AP Statistics,"APES Water Resources; Skills: Graph Interpretation, Modeling","Supports hydrology, natural hazards, and data literacy emphasized across NGSS-aligned state standards."
Sea Level Rise,HS-ESS2-2; HS-ESS2-4; HS-ESS3-5,MS-ESS2-6; 4-ESS2-2,RST.11-12.7; WHST.9-12.1,Earth Science; Physics; Geography; Environmental Science; Economics; Math,Investigate how thermal expansion and melting ice contribute to sea level rise and evaluate coastal adaptation strategies.,Representation; Data Interpretation,Data Visualization,Knowledge Constructor,3-5; 6-8; 9-10; 11-12,RI.4.7; W.5.2; SL.5.4,Statistics & Probability; Ratios & Proportional Relationships,AP Environmental Science; AP Physics 1; AP Human Geography,"APES Climate Systems; Skills: Modeling, Data Analysis",Aligns with coastal processes and climate system standards present in many state science frameworks.
Climate Change & Health,HS-ESS3-3; HS-LS2-7; HS-LS4-6,MS-LS2-5; 5-ESS3-1,RST.11-12.1; SL.11-12.4,Biology; Health Science; Environmental Science; Psychology; Statistics,Trace pathways from climate drivers to human health outcomes and evaluate prevention strategies.,Data Analysis; Probability,Data Literacy,Global Collaborator,3-5; 6-8; 9-10; 11-12,RI.5.3; W.5.2; SL.6.1,Statistics & Probability,AP Biology; AP Environmental Science; AP Psychology; AP Statistics,"AP Bio Ecology; APES Pollution & Human Health; Skills: Data Interpretation, Evaluation",Supports environmental health and human biology topics emphasized in state science curricula.
Climate Migration,HS-ESS3-1; HS-ESS3-4; HS-ETS1-1,MS-ESS3-4; 4-ESS3-2,RST.11-12.2; WHST.9-12.1,Human Geography; History; Civics; Sociology; Economics; ELA,Investigate how environmental change influences migration and evaluate policy and social responses.,Data Interpretation; Communication,Data Analysis,Global Collaborator,6-8; 9-10; 11-12,RI.6.7; W.6.1; SL.6.4,Statistics & Probability,AP Human Geography; AP World History; AP Comparative Government,"AP Human Geography Population & Migration; Skills: Case Study Analysis, Argumentation",Aligns with geography and social studies standards focused on population movement and global systems.
