Learning Lab,PYP Themes,MYP Global Context,MYP Subjects,DP Subjects,TOK/EE/CAS Ideas
Agriculture & Climate Change,Sharing the Planet; How the World Works; How We Organize Ourselves,Globalization & Sustainability; Scientific & Technical Innovation,Sciences; Individuals & Societies; Design; Mathematics; Language & Literature,Environmental Systems & Societies; Biology; Geography; Economics; Mathematics AI/AA,TOK: reliability of environmental models; EE: local food system sustainability study; CAS: school garden or food waste reduction project
Renewable Energy,How the World Works; Sharing the Planet,Scientific & Technical Innovation; Globalization & Sustainability,Sciences; Design; Mathematics; Individuals & Societies,Physics; Chemistry; Environmental Systems & Societies; Economics; Mathematics,TOK: technology vs ethics in energy decisions; EE: renewable energy feasibility study; CAS: school energy audit
Civics & Climate Action,How We Organize Ourselves; Sharing the Planet; Who We Are,Fairness & Development; Globalization & Sustainability,Individuals & Societies; Language & Literature; Design; Arts,Global Politics; Geography; Economics; Language A,TOK: knowledge and political decision-making; EE: climate policy analysis; CAS: civic engagement campaign
Climate Justice & Equity,Who We Are; Sharing the Planet,Fairness & Development; Identities & Relationships,Individuals & Societies; Language & Literature; Sciences,Global Politics; Geography; Economics; Environmental Systems & Societies,TOK: perspectives and bias in global issues; EE: climate justice case study; CAS: equity-focused climate outreach
Invasive Species,Sharing the Planet; How the World Works,Globalization & Sustainability,Sciences; Design; Mathematics,Biology; Environmental Systems & Societies; Geography,TOK: classification and evidence; EE: field ecology investigation; CAS: habitat restoration project
Wildfires,How the World Works; Sharing the Planet,Globalization & Sustainability; Orientation in Time and Space,Sciences; Individuals & Societies; Design,Geography; Biology; Environmental Systems & Societies; Chemistry,TOK: uncertainty in risk prediction; EE: wildfire risk mapping; CAS: community wildfire awareness campaign
Floods & Droughts,How the World Works; Sharing the Planet,Globalization & Sustainability; Scientific & Technical Innovation,Sciences; Design; Mathematics; Individuals & Societies,Geography; Environmental Systems & Societies; Mathematics,TOK: evidence in complex systems; EE: hydrology study; CAS: water conservation initiative
Sea Level Rise,Where We Are in Place and Time; Sharing the Planet,Orientation in Time and Space; Globalization & Sustainability,Sciences; Individuals & Societies; Mathematics; Design,Environmental Systems & Societies; Geography; Physics; Mathematics,TOK: predictive models and certainty; EE: coastal vulnerability analysis; CAS: coastal adaptation awareness
Climate Change & Health,Who We Are; Sharing the Planet,Identities & Relationships; Globalization & Sustainability,Sciences; Physical & Health Education; Individuals & Societies,Biology; Environmental Systems & Societies; Psychology; Geography,TOK: knowledge claims in public health; EE: climate-health relationship study; CAS: health awareness campaign
Climate Migration,Where We Are in Place and Time; Who We Are,Orientation in Time and Space; Fairness & Development,Individuals & Societies; Language & Literature; Language Acquisition,Geography; Global Politics; History; Economics,TOK: perspectives and narratives in migration; EE: migration case study; CAS: community partnership with migrant support organizations
En-ROADS Climate Modeling,How the World Works; Sharing the Planet,Scientific & Technical Innovation; Globalization & Sustainability,Sciences; Mathematics; Design; Individuals & Societies,Environmental Systems & Societies; Physics; Economics; Mathematics,TOK: models and decision-making; EE: climate scenario modeling; CAS: climate solutions advocacy
