Learning Lab,KS2 Standards,KS3 Standards,GCSE Subjects,A Level Subjects,Cross Curricular
Agriculture & Climate Change,Science (Living things and their habitats; Plants); Geography (Human and physical geography),Science (Ecosystems; Earth and atmosphere); Geography (Human impacts on environments),Biology; Geography; Combined Science; Environmental Science; Food Preparation & Nutrition,Biology; Geography; Environmental Science; Economics,Fieldwork data analysis; sustainability case studies; food systems and climate debates
Renewable Energy,Science (Energy and electricity); Design & Technology,Physics (Energy changes and transfers); Design & Technology (Engineering design),Physics; Combined Science; Geography; Design & Technology; Mathematics,Physics; Environmental Science; Geography; Engineering; Economics,Energy efficiency calculations; engineering design challenges; energy policy analysis
Civics & Climate Action,Geography (Human geography); English (Speaking and listening for discussion),Citizenship (Rights and responsibilities); Geography (Environmental interactions),Citizenship Studies; Geography; English Language; Religious Studies,Politics; Geography; Sociology; Economics,Persuasive writing; policy debate; community action projects
Climate Justice & Equity,Geography (Human geography and global issues); PSHE discussions,Citizenship (Social justice); Geography (Global development issues),Geography; Citizenship Studies; Religious Studies; English,Geography; Sociology; Politics; Philosophy,Ethics debates; case study analysis of global inequality; human rights discussions
Invasive Species,Science (Living things and habitats); Geography (Ecosystems),Biology (Interdependence and ecosystems),Biology; Combined Science; Geography,Biology; Environmental Science; Geography,Field sampling; biodiversity surveys; ecosystem data interpretation
Wildfires,Geography (Natural disasters and environmental change),Geography (Physical processes and hazards); Science (Atmospheric processes),Geography; Combined Science; Biology; Chemistry,Geography; Environmental Science; Chemistry,Hazard mapping; climate data interpretation; disaster risk management
Floods & Droughts,Geography (Water cycle; rivers and flooding),Geography (Hydrological processes); Science (Earth systems),Geography; Combined Science; Physics,Geography; Environmental Science; Physics,Hydrology modeling; statistical rainfall analysis; infrastructure design
Sea Level Rise,Geography (Coasts and climate change),Geography (Coastal processes; climate change),Geography; Combined Science; Physics; Mathematics,Geography; Environmental Science; Physics; Mathematics,Graph interpretation; coastal management case studies; climate modeling
Climate Change & Health,Science (Animals including humans; environmental impacts),Biology (Health and disease); Geography (Human environment),Biology; Combined Science; Geography; Physical Education,Biology; Environmental Science; Geography; Psychology,Public health analysis; epidemiology discussions; environmental health research
Climate Migration,Geography (Human geography; population and settlements),Geography (Population and development); Citizenship,Geography; Citizenship Studies; History; English,Geography; Politics; Sociology; Economics,Migration case studies; data analysis of population trends; policy debate
En-ROADS Climate Modeling,Mathematics (Data handling and graphs); Science (Earth and space),Mathematics (Statistics and modeling); Science (Climate systems),Mathematics; Physics; Geography; Computer Science,Mathematics; Physics; Economics; Geography; Computer Science,Systems modeling; spreadsheet simulations; climate scenario evaluation
